Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 674 has 4 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 24 virtual machines, with 18 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 675 has 6 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 30 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 676 has 0 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 1 virtual machines, with 7 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 677 has 4 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 0 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 678 has 9 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 24 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 679 has 2 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 3 sockets. They are running 45 virtual machines, with 10 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 680 has 1 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 47 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 681 has 6 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 4 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 682 has 1 low density subscriptions, 6 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 0 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 683 has 7 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 36 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 684 has 5 low density subscriptions, 6 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 20 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 685 has 6 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 4 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 686 has 1 low density subscriptions, 5 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 5 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 687 has 6 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 14 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 688 has 6 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 22 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 689 has 6 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 15 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 690 has 6 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 19 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 691 has 2 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 12 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 692 has 5 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 39 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 693 has 2 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 32 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 694 has 2 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 30 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 695 has 3 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 3 sockets. They are running 20 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 696 has 2 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 20 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 697 has 9 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 5 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 698 has 3 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 10 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 699 has 8 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 24 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 700 has 5 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 8 sockets. They are running 11 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
